Tank,Salinity,Day,Treatment,Proportion Alive
G,17,13,Low,1.00
G,17,14,Low,1.00
G,17,15,Low,1.00
G,17,16,Low,1.00
G,17,17,Low,1.00
G,17,18,Low,1.00
G,17,19,Low,1.00
G,17,20,Low,1.00
G,17,21,Low,1.00
G,17,22,Low,1.00
G,17,23,Low,1.00
G,17,24,Low,1.00
G,17,25,Low,1.00
G,17,26,Low,1.00
G,17,27,Low,1.00
G,17,28,Low,1.00
H,20,1,Low,1.00
H,20,2,Low,1.00
H,20,3,Low,1.00
H,20,4,Low,1.00
H,20,5,Low,1.00
H,20,6,Low,1.00
H,20,7,Low,1.00
H,20,8,Low,1.00
H,20,9,Low,1.00
H,20,10,Low,1.00
H,20,11,Low,1.00
H,20,12,Low,1.00
H,20,13,Low,1.00
H,20,14,Low,1.00
H,20,15,Low,1.00
H,20,16,Low,1.00
H,20,17,Low,1.00
H,20,18,Low,1.00
H,20,19,Low,1.00
H,20,20,Low,1.00
H,20,21,Low,1.00
H,20,22,Low,1.00
H,20,23,Low,1.00
H,20,24,Low,1.00
H,20,25,Low,1.00
H,20,26,Low,1.00
H,20,27,Low,1.00
H,20,28,Low,1.00
I,5,1,Low,1.00
I,5,2,Low,1.00
I,5,3,Low,1.00
I,5,4,Low,0.67
I,5,5,Low,0.17
I,5,6,Low,0.17
I,5,7,Low,0.17
I,5,8,Low,0.17
I,5,9,Low,0.00
I,5,10,Low,0.00
I,5,11,Low,0.00
I,5,12,Low,0.00
I,5,13,Low,0.00
I,5,14,Low,0.00
I,5,15,Low,0.00
I,5,16,Low,0.00
I,5,17,Low,0.00
I,5,18,Low,0.00
I,5,19,Low,0.00
I,5,20,Low,0.00
I,5,21,Low,0.00
I,5,22,Low,0.00
I,5,23,Low,0.00
I,5,24,Low,0.00
I,5,25,Low,0.00
I,5,26,Low,0.00
I,5,27,Low,0.00
I,5,28,Low,0.00
J,14,1,Low,1.00
J,14,2,Low,1.00
J,14,3,Low,1.00
J,14,4,Low,1.00
J,14,5,Low,1.00
J,14,6,Low,1.00
J,14,7,Low,1.00
J,14,8,Low,1.00
J,14,9,Low,1.00
J,14,10,Low,1.00
J,14,11,Low,1.00
J,14,12,Low,1.00
J,14,13,Low,1.00
J,14,14,Low,1.00
J,14,15,Low,1.00
J,14,16,Low,1.00
J,14,17,Low,1.00
J,14,18,Low,1.00
J,14,19,Low,1.00
J,14,20,Low,1.00
J,14,21,Low,1.00
J,14,22,Low,1.00
J,14,23,Low,1.00
J,14,24,Low,1.00
J,14,25,Low,1.00
J,14,26,Low,1.00
J,14,27,Low,1.00
J,14,28,Low,1.00
K,11,1,Low,1.00
K,11,2,Low,1.00
K,11,3,Low,1.00
K,11,4,Low,1.00
K,11,5,Low,1.00
K,11,6,Low,1.00
K,11,7,Low,1.00
K,11,8,Low,1.00
K,11,9,Low,1.00
K,11,10,Low,1.00
K,11,11,Low,1.00
K,11,12,Low,1.00
K,11,13,Low,1.00
K,11,14,Low,1.00
K,11,15,Low,1.00
K,11,16,Low,1.00
K,11,17,Low,1.00
K,11,18,Low,1.00
K,11,19,Low,1.00
K,11,20,Low,1.00
K,11,21,Low,1.00
K,11,22,Low,1.00
K,11,23,Low,1.00
K,11,24,Low,1.00
K,11,25,Low,1.00
K,11,26,Low,1.00
K,11,27,Low,1.00
K,11,28,Low,1.00
L,8,1,Low,1.00
L,8,2,Low,1.00
L,8,3,Low,1.00
L,8,4,Low,0.50
L,8,5,Low,0.50
L,8,6,Low,0.50
L,8,7,Low,0.33
L,8,8,Low,0.33
L,8,9,Low,0.00
L,8,10,Low,0.00
L,8,11,Low,0.00
L,8,12,Low,0.00
L,8,13,Low,0.00
L,8,14,Low,0.00
L,8,15,Low,0.00
L,8,16,Low,0.00
L,8,17,Low,0.00
L,8,18,Low,0.00
L,8,19,Low,0.00
L,8,20,Low,0.00
L,8,21,Low,0.00
L,8,22,Low,0.00
L,8,23,Low,0.00
L,8,24,Low,0.00
L,8,25,Low,0.00
L,8,26,Low,0.00
L,8,27,Low,0.00
L,8,28,Low,0.00
M,20,1,Low,1.00
M,20,2,Low,1.00
M,20,3,Low,1.00
M,20,4,Low,1.00
M,20,5,Low,1.00
M,20,6,Low,1.00
M,20,7,Low,1.00
